project,run_id,run_name,state,metric,row_count,first_step,last_step,first_logical_step,last_logical_step
grpo-lr-sweep,0kmeh7k5,grpo_reinforce_lr1e-6,finished,train/loss,200,0,218,1,200
grpo-lr-sweep,0kmeh7k5,grpo_reinforce_lr1e-6,finished,train/total_reward,200,0,218,1,200
grpo-lr-sweep,0kmeh7k5,grpo_reinforce_lr1e-6,finished,train_step,200,0,218,1,200
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,eval/answer_reward,20,10,219,1,20
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,eval/format_reward,20,10,219,1,20
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,eval/response_length,20,10,219,1,20
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,eval/total_reward,20,10,219,1,20
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,eval_step,20,10,219,1,20
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,train/answer_reward,200,0,218,1,200
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,train/entropy,200,0,218,1,200
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,train/format_reward,200,0,218,1,200
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,train/gradient_norm,200,0,218,1,200
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,train/loss,200,0,218,1,200
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,train/total_reward,200,0,218,1,200
grpo-lr-sweep,a8nph3d1,grpo_reinforce_lr3e-6,finished,train_step,200,0,218,1,200
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,eval/answer_reward,20,10,219,1,20
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,eval/format_reward,20,10,219,1,20
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,eval/response_length,20,10,219,1,20
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,eval/total_reward,20,10,219,1,20
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,eval_step,20,10,219,1,20
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,train/answer_reward,200,0,218,1,200
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,train/entropy,200,0,218,1,200
